Player,Teams trajectory,Dates,start_date,end_date
Hylissang,Fnatic,"('Dec 2017', 'Nov 2022')",2017-12-01,2022-11-01
Hylissang,MAD Lions,"('Nov 2022', 'present')",2022-11-01,2023-07-21
Nisqy,PunchLine Esport Club,"('Jan 2015', 'Jun 2015')",2015-01-01,2015-06-01
Nisqy,InFamouS Esport,"('Jun 2015', 'Mar 2016')",2015-06-01,2016-03-01
Nisqy,E-corp Gaming,"('Mar 2016', '≈Apr 2016')",2016-03-01,2016-04-01
Nisqy,Melty eSport Club,"('May 2016', 'Oct 2016')",2016-05-01,2016-10-01
Nisqy,Team Orora,"('Aug 2016', 'Aug 2016')",2016-08-01,2016-08-01
Nisqy,Team-LDLC,"('Nov 2016', 'Nov 2016')",2016-11-01,2016-11-01
Nisqy,Fnatic Academy,"('Nov 2016', 'May 2017')",2016-11-01,2017-05-01
Nisqy,Team EnVyUs,"('May 2017', 'Nov 2017')",2017-05-01,2017-11-01
Nisqy,Splyce,"('Nov 2017', 'Nov 2018')",2017-11-01,2018-11-01
Nisqy,Cloud9,"('Nov 2018', 'Nov 2020')",2018-11-01,2020-11-01
Nisqy,Fnatic,"('Nov 2020', 'Dec 2021')",2020-11-01,2021-12-01
Nisqy,Fnatic,"('Dec 2021', 'May 2022')",2021-12-01,2022-05-01
Nisqy,MAD Lions,"('May 2022', 'present')",2022-05-01,2023-07-21
